Date,Name,Year,Letterboxd URI,Rating
2024-01-05,The Big Short,2015,https://boxd.it/ajZw,5
2024-01-06,Parasite,2019,https://boxd.it/hTha,5
2024-01-06,Barbie,2023,https://boxd.it/bCLK,4
2024-01-06,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2024-01-06,Fight Club,1999,https://boxd.it/2a9q,4
2024-01-06,Joker,2019,https://boxd.it/h4cS,3
2024-01-06,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4
2024-01-06,Interstellar,2014,https://boxd.it/4VZ8,4.5
2024-01-06,The Batman,2022,https://boxd.it/eDGs,5
2024-01-06,Get Out,2017,https://boxd.it/eOCm,3.5
2024-01-06,La La Land,2016,https://boxd.it/a5fa,5
2024-01-06,Whiplash,2014,https://boxd.it/7bQA,5
2024-01-06,Oppenheimer,2023,https://boxd.it/wUow,4.5
2024-01-06,The Dark Knight,2008,https://boxd.it/2b0k,5
2024-01-06,Inception,2010,https://boxd.it/1skk,5
2024-01-06,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,3.5
2024-01-06,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4
2024-01-06,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2024-01-06,The Truman Show,1998,https://boxd.it/18U8,4
2024-01-06,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3
2024-01-06,American Psycho,2000,https://boxd.it/28Vs,4.5
2024-01-06,Lady Bird,2017,https://boxd.it/dGNE,5
2024-01-06,The Menu,2022,https://boxd.it/lScm,3.5
2024-01-06,Gone Girl,2014,https://boxd.it/6hQu,4
2024-01-06,Dune,2021,https://boxd.it/fA7G,4
2024-01-06,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4
2024-01-06,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2024-01-06,Avengers: Infinity War,2018,https://boxd.it/9vEe,5
2024-01-06,Avengers: Endgame,2019,https://boxd.it/9vE4,5
2024-01-06,Black Swan,2010,https://boxd.it/Sw0,4.5
2024-01-06,Se7en,1995,https://boxd.it/29zs,4
2024-01-06,Little Women,2019,https://boxd.it/aSVk,4
2024-01-06,Forrest Gump,1994,https://boxd.it/728,4
2024-01-06,Nope,2022,https://boxd.it/sDCe,2
2024-01-06,The Silence of the Lambs,1991,https://boxd.it/2aHW,3
2024-01-06,Baby Driver,2017,https://boxd.it/bhF2,2
2024-01-06,Django Unchained,2012,https://boxd.it/2cCk,5
2024-01-06,The Social Network,2010,https://boxd.it/17ue,5
2024-01-06,Hereditary,2018,https://boxd.it/hNVe,5
2024-01-06,Her,2013,https://boxd.it/4O24,4
2024-01-06,Kill Bill: Vol. 1,2003,https://boxd.it/70w,3.5
2024-01-06,Black Panther,2018,https://boxd.it/8MHs,2.5
2024-01-06,The Matrix,1999,https://boxd.it/2a1m,3.5
2024-01-06,Shutter Island,2010,https://boxd.it/1U82,4.5
2024-01-06,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3.5
2024-01-06,Jojo Rabbit,2019,https://boxd.it/iEBG,4
2024-01-06,Call Me by Your Name,2017,https://boxd.it/dYmm,4
2024-01-06,Ratatouille,2007,https://boxd.it/27ww,4
2024-01-06,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,5
2024-01-06,Arrival,2016,https://boxd.it/aNGk,3
2024-01-06,Don't Look Up,2021,https://boxd.it/o0Hc,3.5
2024-01-06,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2024-01-06,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2024-01-06,Dead Poets Society,1989,https://boxd.it/2aSg,3.5
2024-01-06,The Lighthouse,2019,https://boxd.it/icFU,4
2024-01-06,Avatar: The Way of Water,2022,https://boxd.it/2E2E,5
2024-01-06,10 Things I Hate About You,1999,https://boxd.it/23AO,3
2024-01-06,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4
2024-01-06,Drive,2011,https://boxd.it/IG,1
2024-01-06,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3.5
2024-01-06,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,3
2024-01-06,Star Wars,1977,https://boxd.it/72s,3
2024-01-06,Thor: Ragnarok,2017,https://boxd.it/8MHi,4.5
2024-01-06,Soul,2020,https://boxd.it/ioLA,5
2024-01-06,Donnie Darko,2001,https://boxd.it/2b2A,5
2024-01-06,Top Gun: Maverick,2022,https://boxd.it/cjr4,4
2024-01-06,Titanic,1997,https://boxd.it/2a2k,3.5
2024-01-06,Inside Out,2015,https://boxd.it/4KHC,4
2024-01-06,1917,2019,https://boxd.it/jj4y,4.5
2024-01-06,Up,2009,https://boxd.it/1OEc,4
2024-01-06,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,2.5
2024-01-06,Back to the Future,1985,https://boxd.it/2b8e,4
2024-01-06,Mad Max: Fury Road,2015,https://boxd.it/2DjO,3.5
2024-01-06,Deadpool,2016,https://boxd.it/9fOC,4
2024-01-06,Uncut Gems,2019,https://boxd.it/gXGc,4
2024-01-06,Moonlight,2016,https://boxd.it/d6bE,4
2024-01-06,Saltburn,2023,https://boxd.it/z4eg,3
2024-01-06,WALL·E,2008,https://boxd.it/1VEo,4
2024-01-06,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3.5
2024-01-06,Good Will Hunting,1997,https://boxd.it/2ahY,5
2024-01-06,Dunkirk,2017,https://boxd.it/d0Y6,4
2024-01-06,Avatar,2009,https://boxd.it/1Efm,4.5
2024-01-06,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2024-01-06,The Avengers,2012,https://boxd.it/1xFW,4
2024-01-06,The Hunger Games,2012,https://boxd.it/2uds,2.5
2024-01-06,2001: A Space Odyssey,1968,https://boxd.it/2bf0,4
2024-01-06,The Banshees of Inisherin,2022,https://boxd.it/p7XS,3.5
2024-01-06,No Country for Old Men,2007,https://boxd.it/21ew,4
2024-01-06,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,3.5
2024-01-06,Nightcrawler,2014,https://boxd.it/780m,4
2024-01-06,(500) Days of Summer,2009,https://boxd.it/1EmM,4
2024-01-06,The Empire Strikes Back,1980,https://boxd.it/27Vw,4
2024-01-06,Prisoners,2013,https://boxd.it/4E5i,4.5
2024-01-06,Aftersun,2022,https://boxd.it/Arw0,5
2024-01-06,A Quiet Place,2018,https://boxd.it/fVJQ,3
2024-01-06,Memento,2000,https://boxd.it/2bcK,3.5
2024-01-06,Tenet,2020,https://boxd.it/leq4,3
2024-01-06,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3
2024-01-06,Mean Girls,2004,https://boxd.it/1VNg,4.5
2024-01-06,Spider-Man,2002,https://boxd.it/2a8i,4
2024-01-06,Marriage Story,2019,https://boxd.it/hJAw,2.5
2024-01-06,Iron Man,2008,https://boxd.it/28dA,4
2024-01-06,Jurassic Park,1993,https://boxd.it/2aA2,3.5
2024-01-06,Catch Me If You Can,2002,https://boxd.it/29VS,4
2024-01-06,Toy Story,1995,https://boxd.it/29qA,4
2024-01-06,The Iron Claw,2023,https://boxd.it/w5Pm,3.5
2025-05-06,Warfare,2025,https://boxd.it/LbRo,5
2025-05-06,September 5,2024,https://boxd.it/JYsI,4
2025-05-06,The Substance,2024,https://boxd.it/zanS,3.5
2025-05-06,Dune: Part Two,2024,https://boxd.it/pUfA,4.5
2025-05-06,Challengers,2024,https://boxd.it/zld0,4
2025-05-06,Nosferatu,2024,https://boxd.it/f5eG,4
2025-05-06,Anora,2024,https://boxd.it/Egcw,2.5
2025-05-06,Wicked,2024,https://boxd.it/e8ME,3
2025-05-06,Deadpool & Wolverine,2024,https://boxd.it/jq8s,3.5
2025-05-06,Inside Out 2,2024,https://boxd.it/CFrC,3.5
2025-05-06,Gladiator II,2024,https://boxd.it/kqQQ,3
2025-05-06,We Live in Time,2024,https://boxd.it/FC5u,3.5
2025-05-06,A Complete Unknown,2024,https://boxd.it/oBYa,3.5
2025-05-06,Kingdom of the Planet of the Apes,2024,https://boxd.it/ohEE,2.5
2025-05-10,The Holdovers,2023,https://boxd.it/vHza,3.5
2025-05-10,The Zone of Interest,2023,https://boxd.it/gJsA,5
2025-05-10,All of Us Strangers,2023,https://boxd.it/Bz3C,4
2025-05-10,Air,2023,https://boxd.it/Arlc,4
2025-05-10,Bones and All,2022,https://boxd.it/tLd4,3
