Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-01-04,The Big Short,2015,https://boxd.it/5ul9gJ,5,Yes,,2024-01-03
2024-01-15,Airplane!,1980,https://boxd.it/5AXrE5,,,,2024-01-14
